"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1867";"ilinskı";"Martin";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Turèianske K¾aèany 326";"Turèianske K¾aèany";"03861";;;;;;;"0";;"8,31059341430664";;;"4,53481864929199";
"1868";"ilinskı";"Martin";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Valèa 81";"Valèa";"03835";;;;;;;"0";;"9,10975799560547";;;"5,32172698974609";
"1869";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Èachovskı rad 34";"Vrútky";"03861";"5,87244644165039";;"7,24948577880859";"8,26356887817383";"6,23540229797363";;"0";;"8,54390106201172";;;"2,95455837249756";"7,32308807373047"
"1870";"ilinskı";"Martin";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium J.C.H.";"Èachovskı rad 36";"Vrútky";"03861";"4,99604148864746";"4,92475738525391";;"6,64608993530273";"3,6363639831543";"5,7513298034668";"0";"8,16474838256836";"4,19773635864258";;;"4,34705352783203";"6,89847106933594"
"1871";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"M. R. Štefánika 1";"Vrútky";"03861";"3,746142578125";;"4,53506011962891";"4,57656440734863";"4,49355583190918";;"0";;"8,92108840942383";;;"4,01536178588867";"8,96509094238281"
"1872";"ilinskı";"Martin";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Sv. Cyrila a Metoda 20";"Vrútky";"03861";;;;;;;;;;;;;
"1873";"ilinskı";"Martin";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"abokreky 54";"abokreky";"03840";;;;;;;"0";;"8,25748291015625";;;"5,1669261932373";
"1874";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Babín 37";"Babín";"02952";"5,79545936584473";;"6,52800064086914";"7,07259674072266";"5,98340454101563";;"1,02880659103394";;"9,43217468261719";;;"3,65989761352539";"5,68716621398926"
"1875";"ilinskı";"Námestovo";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Beòadovo 68";"Beòadovo";"02963";"4,8782169342041";;"6,29373245239258";"6,6750602722168";"5,91240501403809";;"0";;"5,13549995422363";;;"5,54593696594238";"2,81175765991211"
"1876";"ilinskı";"Námestovo";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Bobrov";"Bobrov";"02942";"5,22615661621094";;"6,31308212280273";"5,84972801208496";"6,77643661499023";;"0";;"9,61045989990234";;;"5,43324928283691";"5,26248168945312"
